,location,Year,GDP
156,Uzbekistan,2020,"$1,750"
157,Angola,2020,"$1,604"
158,Haiti,2020,"$1,283"
159,Zimbabwe,2020,"$1,373"
160,Cameroon,2020,"$1,539"
161,Senegal,2020,"$1,490"
162,Cambodia,2020,"$1,578"
163,Kiribati,2020,"$1,431"
164,Comoros,2020,"$1,520"
165,Pakistan,2020,"$1,322"
166,Benin,2020,"$1,238"
167,Kyrgyz Republic,2020,"$1,183"
168,Myanmar,2020,"$1,477"
169,Nepal,2020,"$1,139"
170,Guinea,2020,"$1,074"
171,Zambia,2020,$957
172,Tanzania,2020,"$1,042"
173,Lesotho,2020,$990
174,Togo,2020,$897
175,Ethiopia,2020,$919
176,Tajikistan,2020,$852
177,Burkina Faso,2020,$833
178,Uganda,2020,$847
179,Mali,2020,$823
180,Rwanda,2020,$775
181,Guinea-Bissau,2020,$710
182,Gambia,2020,$704
183,Sudan,2020,$608
184,Chad,2020,$644
185,Liberia,2020,$598
186,Malawi,2020,$629
187,Niger,2020,$565
188,Democratic Republic Of Congo,2020,$525
189,Madagascar,2020,$462
190,Mozambique,2020,$450
191,Sierra Leone,2020,$493
192,Central African Republic,2020,$435
193,Somalia,2020,$416
194,Afghanistan,2020,$517
195,Burundi,2020,$217
196,Kuwait,2020,"$24,300"
197,Yemen,2020,$0
198,Turkmenistan,2020,$0
199,Cuba,2020,"$9,500"
200,Isle Of Man,2020,$0
201,Sint Maarten (Dutch Part),2020,$0
202,Greenland,2020,"$54,571"
203,San Marino,2020,"$45,320"
204,Syrian Arab Republic,2020,$533
205,Northern Mariana Islands,2020,$0
206,Liechtenstein,2020,"$157,755"
207,Virgin Islands (U.S.),2020,"$39,552"
208,Monaco,2021,"$234,315"
209,Luxembourg,2021,"$133,590"
210,Bermuda,2021,"$114,090"
211,Ireland,2021,"$100,172"
212,Switzerland,2021,"$91,992"
213,Norway,2021,"$89,154"
214,Cayman Islands,2021,"$86,569"
215,Singapore,2021,"$72,794"
216,United States,2021,"$70,249"
217,Faroe Islands,2021,"$69,010"
218,Iceland,2021,"$68,728"
219,Denmark,2021,"$68,008"
220,Qatar,2021,"$66,838"
221,Sweden,2021,"$61,029"
222,Australia,2021,"$60,443"
223,Netherlands,2021,"$57,768"
224,Finland,2021,"$53,655"
225,Austria,2021,"$53,638"
226,Israel,2021,"$52,171"
227,Canada,2021,"$51,988"
228,Belgium,2021,"$51,247"
229,Germany,2021,"$51,204"
230,Hong Kong,2021,"$49,801"
231,New Zealand,2021,"$48,781"
232,United Kingdom,2021,"$46,510"
233,UAE,2021,"$44,316"
234,Macao,2021,"$43,874"
235,France,2021,"$43,659"
236,Andorra,2021,"$42,137"
237,Japan,2021,"$39,313"
238,New Caledonia,2021,"$37,160"
239,Guam,2021,"$35,905"
240,Italy,2021,"$35,657"
241,South Korea,2021,"$34,998"
242,Malta,2021,"$33,487"
243,Puerto Rico,2021,"$32,641"
244,Cyprus,2021,"$31,552"
245,Brunei,2021,"$31,449"
246,Spain,2021,"$30,104"
247,Aruba,2021,"$29,342"
248,Slovenia,2021,"$29,291"
249,Estonia,2021,"$27,944"
250,Bahamas,2021,"$27,478"
251,Czech Republic,2021,"$26,821"
252,Bahrain,2021,"$26,563"
253,Portugal,2021,"$24,568"
254,Lithuania,2021,"$23,723"
255,Saudi Arabia,2021,"$23,186"
256,Slovak Republic,2021,"$21,392"
257,Latvia,2021,"$21,148"
258,Turks And Caicos Islands,2021,"$20,909"
259,Greece,2021,"$20,193"
260,French Polynesia,2021,"$19,915"
261,Oman,2021,"$19,509"
262,Hungary,2021,"$18,728"
263,St. Kitts And Nevis,2021,"$18,083"
264,Poland,2021,"$18,000"
265,Curacao,2021,"$17,718"
266,Croatia,2021,"$17,685"
267,Uruguay,2021,"$17,313"
268,Barbados,2021,"$17,225"
269,Chile,2021,"$16,265"
270,Trinidad And Tobago,2021,"$16,033"
271,Antigua And Barbuda,2021,"$15,781"
272,American Samoa,2021,"$15,743"
273,Romania,2021,"$14,858"
274,Seychelles,2021,"$14,653"
275,Panama,2021,"$14,618"
276,China,2021,"$12,556"
277,Costa Rica,2021,"$12,472"
278,Bulgaria,2021,"$12,221"
279,Russia,2021,"$12,195"
280,Palau,2021,"$12,084"
281,Malaysia,2021,"$11,109"
282,Nauru,2021,"$10,648"
283,Argentina,2021,"$10,636"
284,Kazakhstan,2021,"$10,374"
285,Maldives,2021,"$10,366"
286,Mexico,2021,"$10,046"
287,Guyana,2021,"$9,999"
288,Turkey,2021,"$9,661"
289,Montenegro,2021,"$9,466"
290,St. Lucia,2021,"$9,414"
291,Serbia,2021,"$9,230"
292,Mauritius,2021,"$9,106"
293,Grenada,2021,"$9,011"
294,St. Vincent And The Grenadines,2021,"$8,666"
295,Gabon,2021,"$8,635"
296,Dominican Republic,2021,"$8,477"
297,Dominica,2021,"$7,653"
298,Brazil,2021,"$7,507"
299,Equatorial Guinea,2021,"$7,507"
300,Belarus,2021,"$7,302"
301,Bosnia,2021,"$7,143"
302,Thailand,2021,"$7,066"
303,South Africa,2021,"$7,055"
304,Botswana,2021,"$6,805"
305,North Macedonia,2021,"$6,695"
306,Peru,2021,"$6,622"
307,Albania,2021,"$6,493"
308,Libya,2021,"$6,357"
309,Belize,2021,"$6,228"
310,Marshall Islands,2021,"$6,172"
311,Colombia,2021,"$6,104"
312,Ecuador,2021,"$5,965"
313,Paraguay,2021,"$5,892"
314,Tuvalu,2021,"$5,632"
315,Azerbaijan,2021,"$5,388"
316,Kosovo,2021,"$5,270"
317,Moldova,2021,"$5,231"
318,Jamaica,2021,"$5,184"
319,Guatemala,2021,"$5,026"
320,Georgia,2021,"$5,023"
321,Armenia,2021,"$4,967"
322,Suriname,2021,"$4,869"
323,Namibia,2021,"$4,866"
324,Ukraine,2021,"$4,836"
325,Iraq,2021,"$4,775"
326,Fiji,2021,"$4,647"
327,Mongolia,2021,"$4,566"
328,El Salvador,2021,"$4,551"
329,Tonga,2021,"$4,426"
330,Indonesia,2021,"$4,333"
331,Lebanon,2021,"$4,136"
332,Jordan,2021,"$4,103"
333,Iran,2021,"$4,091"
334,Sri Lanka,2021,"$4,014"
335,Eswatini,2021,"$3,978"
336,Samoa,2021,"$3,857"
337,Tunisia,2021,"$3,807"
338,Morocco,2021,"$3,795"
339,Vietnam,2021,"$3,756"
340,Egypt,2021,"$3,699"
341,Algeria,2021,"$3,691"
342,West Bank And Gaza,2021,"$3,664"
343,Micronesia,2021,"$3,571"
344,Philippines,2021,"$3,461"
345,Bolivia,2021,"$3,345"
346,Cabo Verde,2021,"$3,293"
347,Bhutan,2021,"$3,266"
348,Djibouti,2021,"$3,150"
349,Vanuatu,2021,"$2,997"
350,Honduras,2021,"$2,772"
351,Timor-Leste,2021,"$2,741"
352,Papua New Guinea,2021,"$2,673"
353,Lao PDR,2021,"$2,536"
354,Bangladesh,2021,"$2,458"
355,Ghana,2021,"$2,363"
356,Sao Tome And Principe,2021,"$2,361"
357,Solomon Islands,2021,"$2,305"
358,Republic Of Congo,2021,"$2,290"
359,India,2021,"$2,257"
360,Mauritania,2021,"$2,166"
361,Kenya,2021,"$2,082"
362,Nigeria,2021,"$2,066"
363,Nicaragua,2021,"$2,046"
364,Uzbekistan,2021,"$1,983"
365,Angola,2021,"$1,954"
366,Haiti,2021,"$1,830"
367,Zimbabwe,2021,"$1,774"
368,Cameroon,2021,"$1,667"
369,Senegal,2021,"$1,637"
370,Cambodia,2021,"$1,625"
371,Kiribati,2021,"$1,606"
372,Comoros,2021,"$1,577"
373,Pakistan,2021,"$1,505"
374,Benin,2021,"$1,319"
375,Kyrgyz Republic,2021,"$1,277"
376,Myanmar,2021,"$1,210"
377,Nepal,2021,"$1,208"
378,Guinea,2021,"$1,189"
379,Zambia,2021,"$1,137"
380,Tanzania,2021,"$1,099"
381,Lesotho,2021,"$1,094"
382,Togo,2021,$973
383,Ethiopia,2021,$925
384,Tajikistan,2021,$897
385,Burkina Faso,2021,$893
386,Uganda,2021,$884
387,Mali,2021,$874
388,Rwanda,2021,$822
389,Guinea-Bissau,2021,$795
390,Gambia,2021,$772
391,Sudan,2021,$752
392,Chad,2021,$686
393,Liberia,2021,$676
394,Malawi,2021,$635
395,Niger,2021,$591
396,Democratic Republic Of Congo,2021,$577
397,Madagascar,2021,$501
398,Mozambique,2021,$492
399,Sierra Leone,2021,$480
400,Central African Republic,2021,$461
401,Somalia,2021,$447
402,Afghanistan,2021,$369
403,Burundi,2021,$221
404,Kuwait,2021,$0
405,Yemen,2021,$0
406,Turkmenistan,2021,$0
407,Cuba,2021,$0
408,Isle Of Man,2021,$0
409,Sint Maarten (Dutch Part),2021,$0
410,Greenland,2021,$0
411,San Marino,2021,$0
412,Syrian Arab Republic,2021,$0
413,Northern Mariana Islands,2021,$0
414,Liechtenstein,2021,$0
415,Virgin Islands (U.S.),2021,$0
