,DateUpdated,AgeGroups,Total cases,Confirmed cases,Total case rate,Total deaths,Confirmed deaths,Probable deaths
1265,3/10/2022,60-69,65259,59427.0,14812.0,1548,1329.0,219.0
1266,3/10/2022,70-79,32066,29397.0,11875.0,2383,2001.0,382.0
1267,3/10/2022,80+,25636,22875.0,15524.0,5615,4474.0,1141.0
1268,3/11/2022,0-9,66295,60914.0,17611.0,2,2.0,0.0
1270,3/11/2022,20-29,124697,109516.0,26794.0,28,25.0,3.0
1271,3/11/2022,30-39,118766,105865.0,26844.0,102,85.0,17.0
1272,3/11/2022,40-49,100958,90661.0,23328.0,236,193.0,43.0
1273,3/11/2022,50-59,99844,90041.0,19224.0,702,594.0,108.0
1274,3/11/2022,60-69,65277,59443.0,14816.0,1551,1332.0,219.0
1275,3/11/2022,70-79,32084,29415.0,11882.0,2392,2008.0,384.0
1276,3/11/2022,80+,25643,22880.0,15528.0,5631,4487.0,1144.0
1277,3/14/2022,0-9,66382,60990.0,17634.0,2,2.0,0.0
1279,3/14/2022,20-29,124836,109618.0,26824.0,28,25.0,3.0
1280,3/14/2022,30-39,118883,105974.0,26871.0,102,85.0,17.0
1281,3/14/2022,40-49,101054,90747.0,23350.0,236,193.0,43.0
1282,3/14/2022,50-59,99919,90112.0,19238.0,703,595.0,108.0
1283,3/14/2022,60-69,65339,59501.0,14831.0,1552,1333.0,219.0
1284,3/14/2022,70-79,32125,29455.0,11897.0,2392,2008.0,384.0
1285,3/14/2022,80+,25672,22900.0,15546.0,5636,4491.0,1145.0
1286,3/15/2022,0-9,66411,61014.0,17641.0,2,2.0,0.0
1288,3/15/2022,20-29,124889,109654.0,26835.0,28,25.0,3.0
1289,3/15/2022,30-39,118922,106003.0,26879.0,107,87.0,20.0
1290,3/15/2022,40-49,101095,90782.0,23359.0,237,193.0,44.0
1291,3/15/2022,50-59,99962,90147.0,19246.0,706,597.0,109.0
1292,3/15/2022,60-69,65371,59523.0,14838.0,1553,1334.0,219.0
1293,11/1/2021,0-9,28242,26186.0,7502.0,1,1.0,0.0
1295,11/1/2021,20-29,70770,62672.0,15207.0,14,13.0,1.0
1296,11/1/2021,30-39,63327,56885.0,14314.0,54,49.0,5.0
1297,11/1/2021,40-49,55780,50773.0,12889.0,174,140.0,34.0
1298,11/1/2021,50-59,58285,53515.0,11222.0,525,440.0,85.0
1299,11/1/2021,60-69,38837,36097.0,8815.0,1172,1012.0,160.0
1300,11/1/2021,70-79,20044,18709.0,7423.0,1966,1661.0,305.0
1301,11/1/2021,80+,17959,16271.0,10875.0,4856,3864.0,992.0
1302,11/2/2021,0-9,28293,26237.0,7516.0,1,1.0,0.0
1304,11/2/2021,20-29,70822,62725.0,15218.0,14,13.0,1.0
1305,11/2/2021,30-39,63393,56950.0,14328.0,55,49.0,6.0
1306,11/2/2021,40-49,55846,50834.0,12904.0,175,141.0,34.0
1307,11/2/2021,50-59,58336,53567.0,11232.0,525,441.0,84.0
1308,11/2/2021,60-69,38884,36140.0,8826.0,1174,1014.0,160.0
1309,11/2/2021,70-79,20066,18726.0,7431.0,1970,1663.0,307.0
1310,11/2/2021,80+,17966,16280.0,10879.0,4858,3866.0,992.0
1311,11/3/2021,0-9,28356,26295.0,7533.0,1,1.0,0.0
1313,11/3/2021,20-29,70891,62782.0,15233.0,14,13.0,1.0
1314,11/3/2021,30-39,63455,57010.0,14342.0,55,49.0,6.0
1315,11/3/2021,40-49,55885,50870.0,12913.0,175,141.0,34.0
1316,11/3/2021,50-59,58386,53609.0,11242.0,525,441.0,84.0
1317,11/3/2021,60-69,38923,36177.0,8835.0,1174,1014.0,160.0
1318,11/3/2021,70-79,20076,18736.0,7435.0,1970,1663.0,307.0
1319,11/3/2021,80+,17970,16284.0,10882.0,4858,3866.0,992.0
1320,11/4/2021,0-9,28407,26343.0,7546.0,1,1.0,0.0
1322,11/4/2021,20-29,70940,62818.0,15243.0,14,13.0,1.0
1323,11/4/2021,30-39,63513,57060.0,14356.0,55,49.0,6.0
1324,11/4/2021,40-49,55948,50925.0,12928.0,175,141.0,34.0
1325,11/4/2021,50-59,58435,53652.0,11251.0,525,441.0,84.0
1326,11/4/2021,60-69,38972,36218.0,8846.0,1174,1014.0,160.0
1327,11/4/2021,70-79,20097,18751.0,7443.0,1970,1663.0,307.0
1328,11/4/2021,80+,17978,16291.0,10886.0,4858,3866.0,992.0
1329,11/5/2021,0-9,28456,26392.0,7559.0,1,1.0,0.0
1331,11/5/2021,20-29,70973,62852.0,15250.0,15,14.0,1.0
1332,11/5/2021,30-39,63572,57117.0,14369.0,55,49.0,6.0
1333,11/5/2021,40-49,55996,50971.0,12939.0,176,142.0,34.0
1334,11/5/2021,50-59,58475,53690.0,11259.0,526,442.0,84.0
1335,11/5/2021,60-69,38999,36244.0,8852.0,1178,1017.0,161.0
1336,11/5/2021,70-79,20109,18760.0,7447.0,1973,1664.0,309.0
1337,11/5/2021,80+,17983,16294.0,10889.0,4862,3869.0,993.0
1338,11/8/2021,0-9,28547,26479.0,7583.0,1,1.0,0.0
1340,11/8/2021,20-29,71133,63000.0,15285.0,15,14.0,1.0
1341,11/8/2021,30-39,63719,57251.0,14402.0,55,49.0,6.0
1342,11/8/2021,40-49,56127,51087.0,12969.0,176,142.0,34.0
1343,11/8/2021,50-59,58594,53800.0,11282.0,526,442.0,84.0
1344,11/8/2021,60-69,39082,36314.0,8871.0,1178,1017.0,161.0
1345,11/8/2021,70-79,20148,18796.0,7462.0,1973,1664.0,309.0
1346,11/8/2021,80+,18003,16312.0,10902.0,4862,3869.0,993.0
1347,11/9/2021,0-9,28582,26509.0,7593.0,1,1.0,0.0
1349,11/9/2021,20-29,71174,63036.0,15293.0,15,14.0,1.0
1350,11/9/2021,30-39,63761,57290.0,14412.0,57,51.0,6.0
1351,11/9/2021,40-49,56180,51138.0,12981.0,176,142.0,34.0
1352,11/9/2021,50-59,58636,53837.0,11290.0,527,443.0,84.0
1353,11/9/2021,60-69,39120,36349.0,8879.0,1180,1019.0,161.0
1354,11/9/2021,70-79,20154,18802.0,7464.0,1976,1667.0,309.0
1355,11/9/2021,80+,18016,16322.0,10909.0,4870,3875.0,995.0
1356,11/10/2021,0-9,28667,26583.0,7615.0,1,1.0,0.0
1358,11/10/2021,20-29,71245,63096.0,15309.0,15,14.0,1.0
1359,11/10/2021,30-39,63823,57339.0,14426.0,57,51.0,6.0
1360,11/10/2021,40-49,56260,51215.0,13000.0,176,142.0,34.0
1361,11/10/2021,50-59,58689,53885.0,11300.0,527,443.0,84.0
1362,11/10/2021,60-69,39158,36383.0,8888.0,1180,1019.0,161.0
1363,11/10/2021,70-79,20182,18822.0,7474.0,1977,1668.0,309.0
1364,11/10/2021,80+,18034,16336.0,10920.0,4872,3877.0,995.0
1365,1/6/2022,0-9,45398,41763.0,12060.0,1,1.0,0.0
1367,1/6/2022,20-29,98986,86542.0,21270.0,23,20.0,3.0
1368,1/6/2022,30-39,91859,81471.0,20763.0,72,61.0,11.0
1369,1/6/2022,40-49,78473,70317.0,18132.0,201,163.0,38.0
1370,1/6/2022,50-59,78728,71111.0,15158.0,566,473.0,93.0
1371,1/6/2022,60-69,51082,46700.0,11594.0,1287,1099.0,188.0
1372,1/6/2022,70-79,25049,23045.0,9277.0,2073,1745.0,328.0
1373,1/6/2022,80+,20784,18745.0,12586.0,5054,4028.0,1026.0
1374,1/7/2022,0-9,46484,42837.0,12348.0,1,1.0,0.0
1376,1/7/2022,20-29,100773,88341.0,21654.0,23,20.0,3.0
1377,1/7/2022,30-39,93598,83219.0,21156.0,77,64.0,13.0
1378,1/7/2022,40-49,79944,71784.0,18472.0,205,167.0,38.0
1379,1/7/2022,50-59,80025,72399.0,15408.0,581,484.0,97.0
1380,1/7/2022,60-69,51795,47407.0,11756.0,1306,1114.0,192.0
1381,1/7/2022,70-79,25345,23326.0,9386.0,2093,1760.0,333.0
1382,1/7/2022,80+,20939,18879.0,12679.0,5087,4055.0,1032.0
1383,1/10/2022,0-9,50257,46477.0,13350.0,1,1.0,0.0
1385,1/10/2022,20-29,105963,93209.0,22769.0,23,20.0,3.0
1386,1/10/2022,30-39,98860,88176.0,22345.0,77,64.0,13.0
1387,1/10/2022,40-49,84439,76012.0,19511.0,205,167.0,38.0
1388,1/10/2022,50-59,84134,76266.0,16199.0,581,485.0,96.0
1389,1/10/2022,60-69,54149,49603.0,12291.0,1306,1114.0,192.0
1390,1/10/2022,70-79,26402,24327.0,9778.0,2093,1760.0,333.0
1391,1/10/2022,80+,21555,19464.0,13052.0,5087,4055.0,1032.0
1392,1/11/2022,0-9,51074,47260.0,13567.0,1,1.0,0.0
1394,1/11/2022,20-29,107049,94217.0,23002.0,23,20.0,3.0
1395,1/11/2022,30-39,99917,89156.0,22584.0,79,65.0,14.0
1396,1/11/2022,40-49,85321,76810.0,19715.0,206,168.0,38.0
1397,1/11/2022,50-59,85004,77062.0,16366.0,586,490.0,96.0
1398,1/11/2022,60-69,54732,50141.0,12423.0,1318,1125.0,193.0
1399,1/11/2022,70-79,26703,24614.0,9889.0,2108,1769.0,339.0
1400,1/11/2022,80+,21772,19671.0,13184.0,5110,4075.0,1035.0
1401,1/12/2022,0-9,51927,48049.0,13794.0,1,1.0,0.0
1403,1/12/2022,20-29,108187,95234.0,23247.0,23,20.0,3.0
1404,1/12/2022,30-39,101111,90245.0,22854.0,79,65.0,14.0
1405,1/12/2022,40-49,86375,77762.0,19958.0,206,168.0,38.0
1406,1/12/2022,50-59,86013,77956.0,16561.0,587,491.0,96.0
1407,1/12/2022,60-69,55291,50633.0,12550.0,1320,1126.0,194.0
1408,1/12/2022,70-79,27000,24871.0,9999.0,2111,1772.0,339.0
1409,1/12/2022,80+,21950,19818.0,13292.0,5111,4076.0,1035.0
1410,1/13/2022,0-9,52973,48949.0,14072.0,1,1.0,0.0
1412,1/13/2022,20-29,109752,96439.0,23583.0,23,20.0,3.0
1413,1/13/2022,30-39,102713,91525.0,23216.0,79,65.0,14.0
1414,1/13/2022,40-49,87708,78849.0,20266.0,206,168.0,38.0
1415,1/13/2022,50-59,87355,79027.0,16819.0,587,491.0,96.0
1416,1/13/2022,60-69,56053,51262.0,12723.0,1320,1126.0,194.0
1417,1/13/2022,70-79,27317,25141.0,10117.0,2111,1772.0,339.0
1418,1/13/2022,80+,22189,20006.0,13436.0,5111,4076.0,1035.0
1419,1/14/2022,0-9,53958,49845.0,14333.0,1,1.0,0.0
1421,11/11/2021,0-9,28734,26644.0,7633.0,1,1.0,0.0
1423,11/11/2021,20-29,71321,63161.0,15325.0,15,14.0,1.0
1424,11/11/2021,30-39,63908,57411.0,14445.0,57,51.0,6.0
1425,11/11/2021,40-49,56331,51272.0,13016.0,176,142.0,34.0
1426,11/11/2021,50-59,58767,53955.0,11315.0,527,443.0,84.0
1427,11/11/2021,60-69,39212,36435.0,8900.0,1180,1019.0,161.0
1428,11/11/2021,70-79,20203,18841.0,7482.0,1977,1668.0,309.0
1429,11/11/2021,80+,18041,16341.0,10925.0,4872,3877.0,995.0
1430,11/12/2021,0-9,28801,26706.0,7651.0,1,1.0,0.0
1432,11/12/2021,20-29,71384,63216.0,15339.0,15,14.0,1.0
1433,11/12/2021,30-39,63983,57487.0,14462.0,57,51.0,6.0
1434,11/12/2021,40-49,56391,51328.0,13030.0,176,142.0,34.0
1435,11/12/2021,50-59,58829,54012.0,11327.0,527,443.0,84.0
1436,11/12/2021,60-69,39252,36470.0,8909.0,1180,1019.0,161.0
1437,11/12/2021,70-79,20209,18847.0,7484.0,1977,1668.0,309.0
1438,11/12/2021,80+,18047,16347.0,10928.0,4872,3877.0,995.0
1439,11/15/2021,0-9,29109,27016.0,7733.0,1,1.0,0.0
1441,11/15/2021,20-29,71653,63462.0,15396.0,15,14.0,1.0
1442,11/15/2021,30-39,64348,57837.0,14544.0,58,52.0,6.0
1443,11/15/2021,40-49,56696,51623.0,13100.0,176,142.0,34.0
1444,11/15/2021,50-59,59130,54302.0,11385.0,530,446.0,84.0
1445,11/15/2021,60-69,39428,36641.0,8949.0,1184,1022.0,162.0
1446,11/15/2021,70-79,20300,18938.0,7518.0,1982,1673.0,309.0
1447,11/15/2021,80+,18110,16410.0,10966.0,4876,3880.0,996.0
1448,11/16/2021,0-9,29178,27079.0,7751.0,1,1.0,0.0
1450,11/16/2021,20-29,71717,63514.0,15410.0,15,14.0,1.0
1451,11/16/2021,30-39,64435,57913.0,14564.0,58,52.0,6.0
1452,11/16/2021,40-49,56796,51715.0,13124.0,176,142.0,34.0
1453,11/16/2021,50-59,59206,54374.0,11399.0,530,446.0,84.0
1454,11/16/2021,60-69,39470,36674.0,8959.0,1183,1021.0,162.0
1455,11/16/2021,70-79,20315,18952.0,7524.0,1982,1673.0,309.0
1456,11/16/2021,80+,18124,16423.0,10975.0,4877,3881.0,996.0
1457,11/17/2021,0-9,29308,27207.0,7785.0,1,1.0,0.0
1459,11/17/2021,20-29,71832,63627.0,15435.0,15,14.0,1.0
1460,11/17/2021,30-39,64555,58029.0,14591.0,58,52.0,6.0
1461,11/17/2021,40-49,56915,51832.0,13151.0,178,143.0,35.0
1462,11/17/2021,50-59,59326,54486.0,11423.0,531,447.0,84.0
1463,11/17/2021,60-69,39530,36732.0,8972.0,1183,1021.0,162.0
1464,11/17/2021,70-79,20345,18979.0,7535.0,1984,1673.0,311.0
1465,11/17/2021,80+,18138,16435.0,10983.0,4880,3883.0,997.0
1466,11/18/2021,0-9,29419,27311.0,7815.0,1,1.0,0.0
1468,11/18/2021,20-29,71922,63722.0,15454.0,16,15.0,1.0
1469,11/18/2021,30-39,64675,58146.0,14618.0,58,52.0,6.0
1470,11/18/2021,40-49,57009,51921.0,13173.0,178,143.0,35.0
1471,11/18/2021,50-59,59419,54578.0,11440.0,531,447.0,84.0
1472,11/18/2021,60-69,39600,36801.0,8988.0,1182,1020.0,162.0
1473,11/18/2021,70-79,20372,19003.0,7545.0,1984,1673.0,311.0
1474,11/18/2021,80+,18159,16455.0,10996.0,4880,3883.0,997.0
1475,11/19/2021,0-9,29541,27430.0,7847.0,1,1.0,0.0
1477,11/19/2021,20-29,72027,63816.0,15477.0,16,15.0,1.0
1478,11/19/2021,30-39,64809,58272.0,14649.0,59,52.0,7.0
1479,11/19/2021,40-49,57129,52031.0,13200.0,178,143.0,35.0
1480,11/19/2021,50-59,59525,54678.0,11461.0,533,449.0,84.0
1481,11/19/2021,60-69,39676,36868.0,9006.0,1188,1024.0,164.0
1482,11/19/2021,70-79,20408,19036.0,7558.0,1987,1675.0,312.0
1483,11/19/2021,80+,18182,16475.0,11010.0,4884,3886.0,998.0
1484,11/22/2021,0-9,29834,27715.0,7925.0,1,1.0,0.0
1486,11/22/2021,20-29,72301,64077.0,15536.0,16,15.0,1.0
1487,11/22/2021,30-39,65136,58587.0,14722.0,59,52.0,7.0
1488,11/22/2021,40-49,57435,52328.0,13271.0,178,143.0,35.0
1489,11/22/2021,50-59,59789,54937.0,11512.0,534,450.0,84.0
1490,11/22/2021,60-69,39845,37033.0,9044.0,1188,1024.0,164.0
1491,11/22/2021,70-79,20472,19096.0,7582.0,1988,1676.0,312.0
1492,11/22/2021,80+,18214,16503.0,11029.0,4885,3887.0,998.0
1493,1/14/2022,20-29,111084,97574.0,23869.0,23,20.0,3.0
1494,1/14/2022,30-39,104159,92748.0,23543.0,82,66.0,16.0
1495,1/14/2022,40-49,88985,79938.0,20561.0,208,169.0,39.0
1496,1/14/2022,50-59,88519,80027.0,17043.0,595,498.0,97.0
1497,1/14/2022,60-69,56824,51918.0,12898.0,1349,1145.0,204.0
1498,1/14/2022,70-79,27678,25452.0,10250.0,2140,1789.0,351.0
1499,1/14/2022,80+,22415,20179.0,13573.0,5154,4108.0,1046.0
1500,3/15/2022,70-79,32137,29465.0,11902.0,2393,2008.0,385.0
1501,3/15/2022,80+,25685,22909.0,15553.0,5645,4498.0,1147.0
1502,5/18/2022,80+,28156,24966.0,17050.0,5757,4577.0,1180.0
1503,6/6/2022,0-9,73904,68079.0,19441.0,4,3.0,1.0
1505,6/6/2022,20-29,136191,119639.0,28783.0,28,25.0,3.0
1506,6/6/2022,30-39,131568,117575.0,29200.0,109,90.0,19.0
1507,6/6/2022,40-49,112104,100763.0,26008.0,244,201.0,43.0
1508,6/6/2022,50-59,112034,100963.0,21736.0,731,620.0,111.0
1509,6/6/2022,60-69,76084,69008.0,16781.0,1600,1370.0,230.0
1510,6/6/2022,70-79,38146,34667.0,13522.0,2472,2070.0,402.0
1511,6/6/2022,80+,29047,25677.0,38241.0,5779,4592.0,1187.0
1512,6/7/2022,0-9,73962,68125.0,19456.0,6,5.0,1.0
1514,6/7/2022,20-29,136259,119689.0,28797.0,28,25.0,3.0
1515,6/7/2022,30-39,131655,117633.0,29219.0,110,91.0,19.0
1516,6/7/2022,40-49,112180,100814.0,26025.0,244,201.0,43.0
1517,6/7/2022,50-59,112144,101033.0,21758.0,733,621.0,112.0
1518,6/7/2022,60-69,76193,69083.0,16805.0,1605,1372.0,233.0
1519,6/7/2022,70-79,38203,34712.0,13542.0,2480,2078.0,402.0
1520,6/7/2022,80+,29093,25709.0,38302.0,5788,4600.0,1188.0
1521,6/8/2022,0-9,74010,68160.0,19469.0,6,5.0,1.0
1523,6/8/2022,20-29,136358,119766.0,28818.0,28,25.0,3.0
1524,6/8/2022,30-39,131767,117716.0,29244.0,110,91.0,19.0
1525,6/8/2022,40-49,112266,100886.0,26045.0,244,201.0,43.0
1526,6/8/2022,50-59,112244,101114.0,21777.0,733,621.0,112.0
1527,6/8/2022,60-69,76277,69155.0,16824.0,1605,1372.0,233.0
1528,6/8/2022,70-79,38255,34754.0,13560.0,2481,2079.0,402.0
1529,6/8/2022,80+,29121,25727.0,38339.0,5789,4601.0,1188.0
1530,6/9/2022,0-9,74045,68194.0,19669.0,5,5.0,0.0
1532,6/9/2022,20-29,136456,119841.0,29321.0,28,25.0,3.0
1533,6/9/2022,30-39,131871,117798.0,29806.0,111,92.0,19.0
1534,6/9/2022,40-49,112352,100960.0,25961.0,244,201.0,43.0
1535,6/9/2022,50-59,112355,101205.0,21633.0,732,620.0,112.0
1536,6/9/2022,60-69,76365,69218.0,17333.0,1605,1372.0,233.0
1537,6/9/2022,70-79,38315,34795.0,14190.0,2481,2079.0,402.0
1538,6/9/2022,80+,29151,25751.0,17652.0,5789,4601.0,1188.0
1539,6/10/2022,0-9,74089,68233.0,19490.0,6,5.0,1.0
1541,6/10/2022,20-29,136539,119903.0,28856.0,28,25.0,3.0
1542,6/10/2022,30-39,131984,117892.0,29292.0,111,92.0,19.0
1543,6/10/2022,40-49,112435,101031.0,26084.0,244,201.0,43.0
1544,6/10/2022,50-59,112479,101310.0,21823.0,732,620.0,112.0
1545,6/10/2022,60-69,76457,69289.0,16863.0,1605,1372.0,233.0
1546,6/10/2022,70-79,38387,34855.0,13607.0,2481,2079.0,402.0
1547,6/10/2022,80+,29189,25784.0,38428.0,5789,4601.0,1188.0
1548,6/13/2022,0-9,74203,68339.0,19520.0,6,5.0,1.0
1549,11/23/2021,0-9,29939,27806.0,7953.0,1,1.0,0.0
1551,11/23/2021,20-29,72396,64158.0,15556.0,16,15.0,1.0
1552,11/23/2021,30-39,65257,58686.0,14750.0,59,52.0,7.0
1553,11/23/2021,40-49,57565,52445.0,13301.0,178,143.0,35.0
1554,11/23/2021,50-59,59882,55020.0,11530.0,534,450.0,84.0
1555,11/23/2021,60-69,39912,37093.0,9059.0,1188,1024.0,164.0
1556,11/23/2021,70-79,20501,19119.0,7592.0,1988,1676.0,312.0
1557,11/23/2021,80+,18224,16511.0,11035.0,4885,3887.0,998.0
1558,11/24/2021,0-9,30069,27932.0,7988.0,1,1.0,0.0
1560,11/24/2021,20-29,72507,64265.0,15580.0,16,15.0,1.0
1561,11/24/2021,30-39,65389,58813.0,14780.0,59,52.0,7.0
1562,11/24/2021,40-49,57690,52561.0,13330.0,178,143.0,35.0
1563,11/24/2021,50-59,59987,55119.0,11550.0,535,451.0,84.0
1564,11/24/2021,60-69,39997,37172.0,9078.0,1191,1026.0,165.0
1565,11/24/2021,70-79,20523,19138.0,7601.0,1993,1681.0,312.0
1566,11/24/2021,80+,18235,16519.0,11042.0,4888,3890.0,998.0
1567,11/26/2021,0-9,30363,28201.0,8066.0,1,1.0,0.0
1569,11/26/2021,20-29,72786,64523.0,15640.0,16,15.0,1.0
1570,11/26/2021,30-39,65704,59099.0,14851.0,59,52.0,7.0
1571,11/26/2021,40-49,57939,52791.0,13388.0,178,143.0,35.0
1572,11/26/2021,50-59,60212,55322.0,11593.0,535,451.0,84.0
1573,11/26/2021,60-69,40153,37312.0,9114.0,1191,1026.0,165.0
1574,11/26/2021,70-79,20584,19198.0,7623.0,1993,1681.0,312.0
1575,11/26/2021,80+,18266,16545.0,11061.0,4888,3890.0,998.0
1576,11/29/2021,0-9,30671,28507.0,8147.0,1,1.0,0.0
1578,11/29/2021,20-29,73107,64829.0,15709.0,16,15.0,1.0
1579,11/29/2021,30-39,66071,59454.0,14934.0,59,52.0,7.0
1580,11/29/2021,40-49,58272,53118.0,13465.0,178,143.0,35.0
1581,11/29/2021,50-59,60512,55616.0,11651.0,535,451.0,84.0
1582,11/29/2021,60-69,40358,37515.0,9160.0,1191,1026.0,165.0
1583,11/29/2021,70-79,20690,19296.0,7662.0,1993,1681.0,312.0
1584,11/29/2021,80+,18319,16600.0,11093.0,4887,3890.0,997.0
1585,11/30/2021,0-9,30800,28629.0,8182.0,1,1.0,0.0
1587,11/30/2021,20-29,73244,64963.0,15738.0,17,16.0,1.0
1588,11/30/2021,30-39,66217,59595.0,14967.0,63,54.0,9.0
1589,11/30/2021,40-49,58389,53229.0,13492.0,179,144.0,35.0
1590,11/30/2021,50-59,60635,55737.0,11675.0,540,454.0,86.0
1591,11/30/2021,60-69,40437,37590.0,9178.0,1196,1030.0,166.0
1592,11/30/2021,70-79,20721,19325.0,7674.0,2000,1687.0,313.0
1593,11/30/2021,80+,18338,16613.0,11104.0,4905,3906.0,999.0
1594,12/1/2021,0-9,30923,28746.0,8214.0,1,1.0,0.0
1596,12/1/2021,20-29,73434,65128.0,15779.0,17,16.0,1.0
1597,12/1/2021,30-39,66418,59767.0,15012.0,63,54.0,9.0
1598,12/1/2021,40-49,58531,53344.0,13524.0,179,144.0,35.0
1599,12/1/2021,50-59,60786,55853.0,11704.0,542,456.0,86.0
1600,12/1/2021,60-69,40521,37663.0,9197.0,1196,1030.0,166.0
1601,12/1/2021,70-79,20750,19351.0,7685.0,2001,1688.0,313.0
1602,12/1/2021,80+,18358,16633.0,11117.0,4906,3907.0,999.0
1603,12/2/2021,0-9,31158,28970.0,8277.0,1,1.0,0.0
1605,12/2/2021,20-29,73688,65386.0,15834.0,17,16.0,1.0
1606,12/2/2021,30-39,66663,60032.0,15068.0,63,54.0,9.0
1607,12/2/2021,40-49,58753,53573.0,13576.0,179,144.0,35.0
1608,12/2/2021,50-59,60984,56056.0,11742.0,542,456.0,86.0
1609,12/2/2021,60-69,40651,37791.0,9227.0,1196,1030.0,166.0
1610,12/2/2021,70-79,20787,19386.0,7698.0,2001,1688.0,313.0
1611,12/2/2021,80+,18385,16656.0,11133.0,4906,3907.0,999.0
1612,12/3/2021,0-9,31249,29051.0,8301.0,1,1.0,0.0
1614,12/3/2021,20-29,73830,65500.0,15864.0,17,16.0,1.0
1615,12/3/2021,30-39,66821,60159.0,15103.0,63,54.0,9.0
1616,12/3/2021,40-49,58864,53679.0,13601.0,179,144.0,35.0
1617,12/3/2021,50-59,61089,56146.0,11762.0,545,459.0,86.0
1618,12/3/2021,60-69,40727,37854.0,9244.0,1199,1032.0,167.0
1619,12/3/2021,70-79,20812,19411.0,7708.0,2004,1691.0,313.0
1620,12/3/2021,80+,18402,16669.0,11143.0,4913,3911.0,1002.0
1621,1/17/2022,0-9,55943,51714.0,14861.0,1,1.0,0.0
1623,1/17/2022,20-29,113485,99801.0,24385.0,23,20.0,3.0
1624,1/17/2022,30-39,106747,95169.0,24128.0,82,66.0,16.0
1625,1/17/2022,40-49,91129,81922.0,21057.0,208,169.0,39.0
1626,1/17/2022,50-59,90563,81918.0,17437.0,595,498.0,97.0
1627,1/17/2022,60-69,58247,53214.0,13221.0,1348,1145.0,203.0
1628,1/17/2022,70-79,28380,26104.0,10510.0,2139,1789.0,350.0
1629,1/17/2022,80+,22878,20585.0,13854.0,5154,4108.0,1046.0
1630,1/18/2022,0-9,56457,52167.0,14997.0,1,1.0,0.0
1632,1/18/2022,20-29,114089,100275.0,24515.0,23,20.0,3.0
1633,1/18/2022,30-39,107391,95720.0,24273.0,82,66.0,16.0
1634,1/18/2022,40-49,91692,82392.0,21187.0,208,169.0,39.0
1635,1/18/2022,50-59,91182,82435.0,17556.0,596,499.0,97.0
1636,1/18/2022,60-69,58635,53527.0,13309.0,1350,1146.0,204.0
1637,1/18/2022,70-79,28587,26273.0,10587.0,2142,1791.0,351.0
1638,1/18/2022,80+,22974,20668.0,13912.0,5158,4111.0,1047.0
1639,1/19/2022,0-9,57108,52763.0,15170.0,2,2.0,0.0
1641,1/19/2022,20-29,114777,100885.0,24663.0,24,20.0,4.0
1642,1/19/2022,30-39,108118,96380.0,24437.0,83,67.0,16.0
1643,1/19/2022,40-49,92254,82896.0,21317.0,214,174.0,40.0
1644,1/19/2022,50-59,91785,82981.0,17672.0,608,509.0,99.0
1645,1/19/2022,60-69,59084,53918.0,13411.0,1369,1158.0,211.0
1646,1/19/2022,70-79,28798,26453.0,10665.0,2168,1812.0,356.0
1647,1/19/2022,80+,23152,20815.0,14020.0,5198,4141.0,1057.0
1648,1/20/2022,0-9,57801,53354.0,15354.0,2,2.0,0.0
1650,1/20/2022,20-29,115448,101465.0,24807.0,24,20.0,4.0
1651,1/20/2022,30-39,108848,97024.0,24602.0,84,68.0,16.0
1652,1/20/2022,40-49,92851,83436.0,21455.0,214,174.0,40.0
1653,1/20/2022,50-59,92383,83508.0,17787.0,611,512.0,99.0
1654,1/20/2022,60-69,59519,54304.0,13510.0,1370,1159.0,211.0
1655,1/20/2022,70-79,29036,26676.0,10753.0,2170,1814.0,356.0
1656,1/20/2022,80+,23357,20986.0,14144.0,5203,4145.0,1058.0
1657,1/21/2022,0-9,58402,53928.0,15514.0,2,2.0,0.0
1659,1/21/2022,20-29,116077,102026.0,24942.0,24,20.0,4.0
1660,1/21/2022,30-39,109580,97732.0,24768.0,86,70.0,16.0
1661,1/21/2022,40-49,93448,83991.0,21592.0,218,177.0,41.0
1662,1/21/2022,50-59,92901,83996.0,17887.0,624,524.0,100.0
1663,1/21/2022,60-69,59958,54704.0,13609.0,1385,1173.0,212.0
1664,1/21/2022,70-79,29259,26882.0,10836.0,2188,1828.0,360.0
1665,1/21/2022,80+,23502,21093.0,14231.0,5237,4168.0,1069.0
1666,1/24/2022,0-9,60083,55521.0,15961.0,2,2.0,0.0
1668,1/24/2022,20-29,117831,103692.0,25319.0,24,20.0,4.0
1669,1/24/2022,30-39,111556,99575.0,25215.0,86,70.0,16.0
1670,1/24/2022,40-49,95132,85589.0,21982.0,218,177.0,41.0
1671,1/24/2022,50-59,94378,85352.0,18171.0,624,524.0,100.0
1672,1/24/2022,60-69,61011,55691.0,13848.0,1386,1174.0,212.0
1673,1/24/2022,70-79,29729,27303.0,11010.0,2194,1834.0,360.0
1674,1/24/2022,80+,23847,21404.0,14440.0,5235,4168.0,1067.0
1675,1/25/2022,0-9,60500,55846.0,16071.0,2,2.0,0.0
1677,1/25/2022,20-29,118447,104077.0,25451.0,24,20.0,4.0
1678,12/6/2021,0-9,31991,29784.0,8498.0,1,1.0,0.0
1680,12/6/2021,20-29,74742,66396.0,16060.0,17,16.0,1.0
