,DateUpdated,AgeGroups,Total cases,Confirmed cases,Total case rate,Total deaths,Confirmed deaths,Probable deaths
97,9/1/2021,70-79,18693,17511.0,6923.0,1871,1585.0,286.0
98,9/1/2021,80+,17152,15589.0,10386.0,4688,3755.0,933.0
99,9/2/2021,0-9,24265,22570.0,6446.0,1,1.0,0.0
101,9/2/2021,20-29,66374,58933.0,14262.0,11,11.0,0.0
102,9/2/2021,30-39,58693,52839.0,13266.0,46,44.0,2.0
103,9/2/2021,40-49,52070,47497.0,12032.0,158,126.0,32.0
104,9/2/2021,50-59,54984,50595.0,10587.0,485,408.0,77.0
105,9/2/2021,60-69,36368,33902.0,8255.0,1107,957.0,150.0
106,9/2/2021,70-79,18732,17546.0,6937.0,1878,1592.0,286.0
107,9/2/2021,80+,17174,15613.0,10400.0,4704,3768.0,936.0
108,9/3/2021,0-9,24352,22652.0,6469.0,1,1.0,0.0
110,9/3/2021,20-29,66505,59036.0,14290.0,11,11.0,0.0
111,9/3/2021,30-39,58800,52921.0,13290.0,46,44.0,2.0
112,9/3/2021,40-49,52147,47565.0,12049.0,158,126.0,32.0
113,9/3/2021,50-59,55067,50667.0,10602.0,485,408.0,77.0
114,9/3/2021,60-69,36422,33946.0,8267.0,1107,957.0,150.0
115,9/3/2021,70-79,18760,17566.0,6948.0,1878,1592.0,286.0
116,9/3/2021,80+,17191,15627.0,10410.0,4704,3768.0,936.0
117,9/7/2021,0-9,24550,22839.0,6521.0,1,1.0,0.0
119,9/7/2021,20-29,66786,59285.0,14351.0,11,11.0,0.0
120,9/7/2021,30-39,59056,53138.0,13348.0,46,44.0,2.0
121,9/7/2021,40-49,52323,47722.0,12090.0,158,126.0,32.0
122,9/7/2021,50-59,55265,50844.0,10641.0,485,408.0,77.0
123,9/7/2021,60-69,36558,34076.0,8298.0,1107,957.0,150.0
124,9/7/2021,70-79,18846,17648.0,6979.0,1878,1592.0,286.0
125,9/7/2021,80+,17236,15668.0,10437.0,4705,3769.0,936.0
126,9/8/2021,0-9,24650,22912.0,6548.0,1,1.0,0.0
128,6/9/2021,0-9,21413,20046.0,5688.0,1,1.0,0.0
130,6/9/2021,20-29,61009,54692.0,13109.0,10,10.0,0.0
131,6/9/2021,30-39,54122,49113.0,12233.0,43,41.0,2.0
132,6/9/2021,40-49,48600,44588.0,11230.0,151,119.0,32.0
133,6/9/2021,50-59,51979,48108.0,10008.0,460,389.0,71.0
134,6/9/2021,60-69,34416,32232.0,7812.0,1091,940.0,151.0
135,6/9/2021,70-79,17665,16610.0,6542.0,1851,1565.0,286.0
136,6/9/2021,80+,16551,15094.0,10022.0,4647,3719.0,928.0
137,6/10/2021,0-9,21423,20056.0,5691.0,1,1.0,0.0
139,6/10/2021,20-29,61027,54705.0,13113.0,10,10.0,0.0
140,6/10/2021,30-39,54130,49119.0,12235.0,43,41.0,2.0
141,6/10/2021,40-49,48612,44597.0,11232.0,151,119.0,32.0
142,6/10/2021,50-59,51978,48108.0,10008.0,462,391.0,71.0
143,6/10/2021,60-69,34420,32236.0,7813.0,1091,940.0,151.0
144,6/10/2021,70-79,17666,16611.0,6542.0,1851,1565.0,286.0
145,6/10/2021,80+,16553,15096.0,10024.0,4648,3720.0,928.0
146,6/11/2021,0-9,21429,20062.0,5692.0,1,1.0,0.0
148,6/11/2021,20-29,61029,54708.0,13114.0,10,10.0,0.0
149,6/11/2021,30-39,54138,49123.0,12237.0,43,41.0,2.0
150,6/11/2021,40-49,48619,44603.0,11234.0,151,119.0,32.0
151,6/11/2021,50-59,51984,48111.0,10009.0,463,391.0,72.0
152,6/11/2021,60-69,34421,32235.0,7813.0,1091,940.0,151.0
153,6/11/2021,70-79,17668,16613.0,6543.0,1851,1565.0,286.0
154,6/11/2021,80+,16553,15096.0,10024.0,4648,3720.0,928.0
155,6/14/2021,0-9,21441,20072.0,5696.0,1,1.0,0.0
157,6/14/2021,20-29,61050,54727.0,13118.0,10,10.0,0.0
158,6/14/2021,30-39,54155,49136.0,12240.0,43,41.0,2.0
159,6/14/2021,40-49,48635,44614.0,11238.0,151,119.0,32.0
160,6/14/2021,50-59,51997,48120.0,10011.0,463,391.0,72.0
161,6/14/2021,60-69,34433,32246.0,7816.0,1092,941.0,151.0
162,6/14/2021,70-79,17673,16618.0,6545.0,1851,1565.0,286.0
163,6/14/2021,80+,16554,15096.0,10024.0,4649,3720.0,929.0
164,6/15/2021,0-9,21444,20074.0,5696.0,1,1.0,0.0
166,6/15/2021,20-29,61065,54737.0,13121.0,10,10.0,0.0
167,6/15/2021,30-39,54162,49143.0,12242.0,43,41.0,2.0
168,6/15/2021,40-49,48644,44620.0,11240.0,151,119.0,32.0
169,6/15/2021,50-59,52005,48125.0,10013.0,463,391.0,72.0
170,6/15/2021,60-69,34435,32248.0,7816.0,1092,941.0,151.0
171,6/15/2021,70-79,17676,16621.0,6546.0,1851,1565.0,286.0
172,6/15/2021,80+,16556,15098.0,10025.0,4649,3720.0,929.0
173,6/16/2021,0-9,21447,20076.0,5697.0,1,1.0,0.0
175,6/16/2021,20-29,61072,54743.0,13123.0,10,10.0,0.0
